mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,param_SVM__gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0,0.0,0.48474111866969005,0.608766708437761,1.0,0.01,"{'SVM__C': 1.0, 'SVM__gamma': 0.01}",200,0.5357142857142857,0.5055555555555556,0.5833333333333333,0.606578947368421,0.4791666666666667,0.6622180451127818,0.3125,0.6607142857142857,0.0,0.0,0.09905102929729215,0.06366499146905114
0.003906726837158203,0.0,0.6255196523053665,0.7366854636591479,1.0,0.0311111111111,"{'SVM__C': 1.0, 'SVM__gamma': 0.03111111111111111}",188,0.7321428571428572,0.7416666666666667,0.5833333333333333,0.6934210526315788,0.5625,0.6992481203007518,0.6041666666666666,0.8124060150375939,0.006766649373250872,0.0,0.06889877061372707,0.04751783408299163
0.0,0.0,0.6470143613000755,0.8078111946532998,1.0,0.0522222222222,"{'SVM__C': 1.0, 'SVM__gamma': 0.052222222222222225}",179,0.8571428571428572,0.7972222222222223,0.6666666666666666,0.7828947368421052,0.6666666666666666,0.7874060150375938,0.3333333333333334,0.8637218045112781,0.0,0.0,0.1862020303349223,0.03269298035069396
0.003906309604644775,0.003906309604644775,0.6232048374905519,0.8645050125313282,1.0,0.0733333333333,"{'SVM__C': 1.0, 'SVM__gamma': 0.073333333333333334}",192,0.7321428571428572,0.9166666666666666,0.75,0.8078947368421052,0.6666666666666666,0.869736842105263,0.2916666666666667,0.8637218045112781,0.006765926705339045,0.006765926705339045,0.17986003601354575,0.03857961550883403
0.0,0.0,0.6311413454270597,0.890016708437761,1.0,0.0944444444444,"{'SVM__C': 1.0, 'SVM__gamma': 0.094444444444444442}",186,0.7321428571428572,0.9305555555555556,0.7083333333333333,0.8828947368421052,0.6666666666666666,0.869736842105263,0.375,0.8768796992481203,0.0,0.0,0.13895353311756237,0.02386406605108369
0.0,0.003905773162841797,0.6268424036281179,0.8929772347535504,1.0,0.115555555556,"{'SVM__C': 1.0, 'SVM__gamma': 0.11555555555555555}",187,0.7321428571428572,0.9305555555555556,0.75,0.9078947368421051,0.6041666666666666,0.869736842105263,0.375,0.8637218045112781,0.0,0.006764997560880982,0.1457291039395635,0.027525706675612698
0.0,0.0,0.5831916099773243,0.8914590161300687,1.0,0.136666666667,"{'SVM__C': 1.0, 'SVM__gamma': 0.13666666666666669}",197,0.7321428571428572,0.9305555555555556,0.75,0.888663967611336,0.4791666666666667,0.8828947368421053,0.3125,0.8637218045112781,0.0,0.0,0.17962528265861213,0.024387760656621026
0.01171964406967163,0.0,0.5874244142101285,0.9013274371827003,1.0,0.157777777778,"{'SVM__C': 1.0, 'SVM__gamma': 0.15777777777777779}",196,0.6821428571428572,0.9305555555555556,0.75,0.888663967611336,0.4791666666666667,0.8960526315789473,0.39583333333333337,0.8900375939849623,0.006766339658431517,0.0,0.1422091981061049,0.01710212339732558
0.0,0.0,0.5788265306122449,0.9013274371827003,1.0,0.178888888889,"{'SVM__C': 1.0, 'SVM__gamma': 0.1788888888888889}",198,0.6196428571428572,0.9305555555555556,0.75,0.888663967611336,0.4791666666666667,0.8960526315789473,0.4375,0.8900375939849623,0.0,0.0,0.12132856963145254,0.01710212339732558
0.0,0.0,0.5695672713529857,0.9047996594049226,1.0,0.2,"{'SVM__C': 1.0, 'SVM__gamma': 0.20000000000000001}",199,0.6196428571428572,0.9444444444444444,0.75,0.888663967611336,0.4791666666666667,0.8960526315789473,0.3958333333333333,0.8900375939849623,0.0,0.0,0.13280756141959946,0.02305698701987688
